"","realpseudo"
"405","pseudo"
"406","real"
"407","real"
"408","pseudo"
"409","real"
"410","pseudo"
"411","pseudo"
"412","real"
"413","real"
"414","real"
"415","pseudo"
"416","pseudo"
"417","pseudo"
"418","real"
"419","real"
"420","real"
"421","pseudo"
"422","pseudo"
"423","pseudo"
"424","pseudo"
"425","pseudo"
"426","pseudo"
"427","real"
"428","real"
"429","real"
"430","pseudo"
"431","pseudo"
"432","pseudo"
"433","pseudo"
"434","pseudo"
"435","real"
"436","real"
"437","real"
"438","real"
"439","real"
"440","pseudo"
"441","pseudo"
"442","real"
"443","pseudo"
"444","pseudo"
"445","pseudo"
"446","real"
"447","real"
"448","real"
"449","pseudo"
"450","real"
"451","real"
"452","real"
"453","pseudo"
"454","pseudo"
"455","real"
"456","real"
"457","real"
"458","real"
"459","pseudo"
"460","real"
"461","pseudo"
"462","real"
"463","real"
"464","real"
"465","pseudo"
"466","pseudo"
"467","pseudo"
"468","real"
"469","pseudo"
"470","pseudo"
"471","pseudo"
"472","pseudo"
"473","pseudo"
"474","real"
"475","pseudo"
"476","real"
"477","real"
"478","real"
"479","real"
"480","pseudo"
"481","real"
"482","real"
"483","real"
"484","pseudo"
"485","pseudo"
"486","real"
"487","real"
"488","pseudo"
"489","pseudo"
"490","pseudo"
"491","real"
"492","pseudo"
"493","pseudo"
"494","real"
"495","real"
"496","pseudo"
"497","pseudo"
"498","real"
"499","pseudo"
"500","pseudo"
"501","real"
"502","real"
"503","real"
"504","pseudo"
"505","pseudo"
"506","real"
"507","real"
"508","pseudo"
"509","real"
"510","real"
"511","pseudo"
"512","pseudo"
"513","real"
"514","real"
"515","real"
"516","real"
"517","real"
"518","pseudo"
"519","pseudo"
"520","real"
"521","pseudo"
"522","pseudo"
"523","real"
"524","real"
"525","real"
"526","pseudo"
"527","pseudo"
"528","pseudo"
"529","real"
"530","real"
"531","pseudo"
"532","real"
"533","real"
"534","pseudo"
"535","pseudo"
"536","real"
"537","real"
"538","pseudo"
"539","pseudo"
"540","pseudo"
"541","real"
"542","pseudo"
"543","pseudo"
"544","real"
"545","real"
"546","real"
"547","real"
"548","real"
"549","real"
"550","pseudo"
"551","real"
"552","pseudo"
"553","pseudo"
"554","real"
"555","pseudo"
"556","real"
"557","pseudo"
"558","real"
"559","pseudo"
"560","pseudo"
"561","real"
"562","pseudo"
"563","pseudo"
"564","real"
"565","pseudo"
"566","pseudo"
"567","real"
"568","real"
"569","pseudo"
"570","pseudo"
"571","pseudo"
"572","pseudo"
"573","pseudo"
"574","real"
"575","pseudo"
"576","real"
"577","pseudo"
"578","pseudo"
"579","pseudo"
"580","pseudo"
"581","pseudo"
"582","pseudo"
"583","real"
"584","pseudo"
"585","real"
"586","real"
"587","real"
"588","real"
"589","real"
"590","real"
"591","real"
"592","real"
"593","pseudo"
"594","pseudo"
"595","pseudo"
"596","pseudo"
"597","pseudo"
"598","pseudo"
"599","real"
"600","real"
"601","pseudo"
"602","pseudo"
"603","real"
"604","pseudo"
"605","real"
"606","pseudo"
"607","pseudo"
"608","pseudo"
"609","real"
"610","pseudo"
"611","real"
"612","pseudo"
"613","pseudo"
"614","real"
"615","real"
"616","pseudo"
"617","real"
"618","real"
"619","pseudo"
"620","real"
"621","pseudo"
"622","pseudo"
"623","real"
"624","pseudo"
"625","real"
"626","real"
"627","real"
"628","pseudo"
"629","pseudo"
"630","pseudo"
"631","real"
"632","pseudo"
"633","pseudo"
"634","real"
"635","real"
"636","real"
"637","pseudo"
"638","real"
"639","real"
"640","real"
"641","real"
"642","real"
"643","real"
"644","pseudo"
"645","real"
"646","real"
"647","real"
"648","pseudo"
"649","real"
"650","pseudo"
"651","real"
"652","pseudo"
"653","pseudo"
"654","pseudo"
"655","real"
"656","pseudo"
"657","pseudo"
"658","pseudo"
"659","pseudo"
"660","pseudo"
"661","pseudo"
"662","real"
"663","real"
"664","real"
"665","pseudo"
"666","real"
"667","pseudo"
"668","real"
"669","pseudo"
"670","real"
"671","real"
"672","pseudo"
"673","real"
"674","real"
"675","pseudo"
"676","pseudo"
"677","pseudo"
"678","pseudo"
"679","pseudo"
"680","real"
"681","pseudo"
"682","real"
"683","real"
"684","pseudo"
"685","pseudo"
"686","real"
"687","pseudo"
"688","real"
"689","pseudo"
"690","pseudo"
"691","real"
"692","real"
"693","real"
"694","pseudo"
"695","real"
"696","pseudo"
"697","real"
"698","real"
"699","real"
"700","pseudo"
"701","pseudo"
"702","real"
"703","real"
"704","real"
"705","pseudo"
"706","real"
"707","pseudo"
"708","real"
"709","pseudo"
"710","pseudo"
"711","real"
"712","real"
"713","real"
"714","pseudo"
"715","real"
"716","pseudo"
"717","pseudo"
"718","pseudo"
"719","real"
"720","pseudo"
"721","real"
"722","real"
"723","real"
"724","pseudo"
"725","pseudo"
"726","pseudo"
"727","pseudo"
"728","pseudo"
"729","pseudo"
"730","real"
"731","real"
"732","pseudo"
"733","pseudo"
"734","pseudo"
"735","pseudo"
"736","pseudo"
"737","real"
"738","real"
"739","real"
"740","pseudo"
"741","real"
"742","pseudo"
"743","pseudo"
"744","real"
"745","real"
"746","real"
"747","pseudo"
"748","pseudo"
"749","real"
"750","pseudo"
"751","pseudo"
"752","real"
"753","pseudo"
"754","real"
"755","pseudo"
"756","pseudo"
"757","pseudo"
"758","real"
"759","pseudo"
"760","pseudo"
"761","pseudo"
"762","real"
"763","real"
"764","real"
"765","real"
"766","pseudo"
"767","real"
"768","real"
"769","real"
"770","pseudo"
"771","real"
"772","real"
"773","real"
"774","real"
"775","pseudo"
"776","pseudo"
"777","pseudo"
"778","pseudo"
"779","real"
"780","real"
"781","pseudo"
"782","real"
"783","pseudo"
"784","real"
"785","real"
"786","pseudo"
"787","real"
"788","real"
"789","real"
"790","pseudo"
"791","real"
"792","real"
"793","pseudo"
"794","pseudo"
"795","real"
"796","pseudo"
"797","pseudo"
"798","real"
"799","pseudo"
"800","real"
"801","real"
"802","real"
"803","pseudo"
"804","pseudo"
"805","real"
"806","real"
"807","pseudo"
"808","pseudo"
"809","real"
"810","pseudo"
"811","real"
"812","real"
"813","real"
"814","pseudo"
"815","real"
"816","pseudo"
"817","real"
"818","real"
"819","pseudo"
"820","pseudo"
"821","pseudo"
"822","pseudo"
"823","real"
"824","pseudo"
"825","real"
"826","real"
"827","real"
"828","pseudo"
"829","pseudo"
"830","real"
"831","pseudo"
"832","real"
"833","real"
"834","real"
"835","pseudo"
"836","real"
"837","real"
"838","real"
"839","pseudo"
"840","pseudo"
"841","pseudo"
"842","real"
"843","pseudo"
"844","pseudo"
"845","real"
"846","real"
"847","pseudo"
"848","pseudo"
"849","real"
"850","real"
"851","real"
"852","pseudo"
"853","real"
"854","pseudo"
"855","pseudo"
"856","real"
"857","pseudo"
"858","real"
"859","pseudo"
"860","real"
"861","real"
"862","pseudo"
"863","real"
"864","pseudo"
"865","real"
"866","pseudo"
"867","pseudo"
"868","real"
"869","pseudo"
"870","pseudo"
"871","real"
"872","real"
"873","real"
"874","real"
"875","pseudo"
"876","pseudo"
"877","pseudo"
"878","pseudo"
"879","pseudo"
"880","real"
"881","real"
"882","real"
"883","real"
"884","pseudo"
"885","pseudo"
"886","pseudo"
"887","real"
"888","real"
"889","real"
"890","pseudo"
"891","pseudo"
"892","pseudo"
"893","pseudo"
"894","pseudo"
"895","pseudo"
"896","real"
"897","real"
"898","pseudo"
"899","real"
"900","pseudo"
"901","real"
"902","real"
"903","real"
"904","pseudo"
"905","pseudo"
"906","real"
"907","pseudo"
"908","real"
"909","pseudo"
"910","pseudo"
"911","real"
"912","pseudo"
"913","pseudo"
"914","real"
"915","pseudo"
"916","real"
"917","real"
"918","pseudo"
"919","real"
"920","pseudo"
"921","pseudo"
"922","real"
"923","pseudo"
"924","real"
"925","real"
"926","pseudo"
"927","real"
"928","real"
"929","real"
"930","pseudo"
"931","pseudo"
"932","real"
"933","pseudo"
"934","real"
"935","real"
"936","pseudo"
"937","pseudo"
"938","pseudo"
"939","real"
"940","real"
"941","real"
"942","real"
"943","real"
"944","pseudo"
"945","real"
"946","pseudo"
"947","real"
"948","pseudo"
"949","pseudo"
"950","real"
"951","pseudo"
"952","real"
"953","pseudo"
"954","pseudo"
"955","real"
"956","pseudo"
"957","real"
"958","real"
"959","pseudo"
"960","real"
"961","pseudo"
"962","pseudo"
"963","real"
"964","pseudo"
"965","real"
"966","pseudo"
"967","real"
"968","real"
"969","real"
"970","real"
"971","pseudo"
"972","pseudo"
"973","pseudo"
"974","real"
"975","pseudo"
"976","pseudo"
"977","pseudo"
"978","pseudo"
"979","pseudo"
"980","real"
"981","pseudo"
"982","real"
"983","pseudo"
"984","real"
"985","pseudo"
"986","pseudo"
"987","real"
"988","real"
"989","real"
"990","real"
"991","pseudo"
"992","real"
"993","pseudo"
"994","real"
"995","real"
"996","pseudo"
"997","pseudo"
"998","pseudo"
"999","real"
"1000","pseudo"
