"","realpseudo"
"1","pseudo"
"2","real"
"3","real"
"4","pseudo"
"5","pseudo"
"6","real"
"7","pseudo"
"8","pseudo"
"9","pseudo"
"10","pseudo"
"11","pseudo"
"12","pseudo"
"13","pseudo"
"14","real"
"15","pseudo"
"16","real"
"17","real"
"18","real"
"19","real"
"20","real"
"21","real"
"22","real"
"23","real"
"24","pseudo"
"25","pseudo"
"26","real"
"27","real"
"28","pseudo"
"29","pseudo"
"30","real"
"31","real"
"32","real"
"33","real"
"34","real"
"35","pseudo"
"36","real"
"37","pseudo"
"38","real"
"39","real"
"40","pseudo"
"41","real"
"42","pseudo"
"43","real"
"44","pseudo"
"45","pseudo"
"46","pseudo"
"47","pseudo"
"48","pseudo"
"49","real"
"50","real"
"51","pseudo"
"52","pseudo"
"53","real"
"54","real"
"55","pseudo"
"56","pseudo"
"57","real"
"58","real"
"59","pseudo"
"60","pseudo"
"61","pseudo"
"62","pseudo"
"63","pseudo"
"64","pseudo"
"65","real"
"66","real"
"67","pseudo"
"68","real"
"69","pseudo"
"70","pseudo"
"71","real"
"72","pseudo"
"73","real"
"74","real"
"75","real"
"76","pseudo"
"77","real"
"78","real"
"79","pseudo"
"80","real"
"81","pseudo"
"82","real"
"83","real"
"84","real"
"85","real"
"86","pseudo"
"87","pseudo"
"88","pseudo"
"89","real"
"90","real"
"91","pseudo"
"92","pseudo"
"93","pseudo"
"94","pseudo"
"95","real"
"96","pseudo"
"97","pseudo"
"98","real"
"99","real"
"100","real"
"101","pseudo"
"102","pseudo"
"103","pseudo"
"104","pseudo"
"105","real"
"106","pseudo"
"107","real"
"108","real"
"109","pseudo"
"110","pseudo"
"111","real"
"112","pseudo"
"113","pseudo"
"114","pseudo"
"115","real"
"116","pseudo"
"117","real"
"118","pseudo"
"119","real"
"120","real"
"121","pseudo"
"122","real"
"123","pseudo"
"124","pseudo"
"125","real"
"126","pseudo"
"127","real"
"128","pseudo"
"129","real"
"130","pseudo"
"131","real"
"132","pseudo"
"133","real"
"134","pseudo"
"135","real"
"136","pseudo"
"137","real"
"138","real"
"139","real"
"140","pseudo"
"141","pseudo"
"142","pseudo"
"143","real"
"144","pseudo"
"145","real"
"146","real"
"147","pseudo"
"148","pseudo"
"149","real"
"150","real"
"151","pseudo"
"152","real"
"153","real"
"154","pseudo"
"155","pseudo"
"156","real"
"157","real"
"158","real"
"159","real"
"160","real"
"161","real"
"162","real"
"163","pseudo"
"164","real"
"165","pseudo"
"166","pseudo"
"167","pseudo"
"168","real"
"169","pseudo"
"170","pseudo"
"171","real"
"172","pseudo"
"173","real"
"174","pseudo"
"175","real"
"176","pseudo"
"177","real"
"178","real"
"179","pseudo"
"180","pseudo"
"181","real"
"182","real"
"183","real"
"184","pseudo"
"185","real"
"186","pseudo"
"187","pseudo"
"188","pseudo"
"189","real"
"190","pseudo"
"191","pseudo"
"192","real"
"193","pseudo"
"194","real"
"195","pseudo"
"196","real"
"197","real"
"198","pseudo"
"199","real"
"200","real"
"201","real"
"202","pseudo"
"203","pseudo"
"204","pseudo"
"205","pseudo"
"206","pseudo"
"207","real"
"208","pseudo"
"209","real"
"210","pseudo"
"211","pseudo"
"212","real"
"213","real"
"214","pseudo"
"215","pseudo"
"216","pseudo"
"217","pseudo"
"218","real"
"219","real"
"220","real"
"221","pseudo"
"222","real"
"223","pseudo"
"224","real"
"225","real"
"226","real"
"227","pseudo"
"228","pseudo"
"229","real"
"230","real"
"231","pseudo"
"232","real"
"233","pseudo"
"234","pseudo"
"235","pseudo"
"236","real"
"237","real"
"238","pseudo"
"239","pseudo"
"240","real"
"241","real"
"242","real"
"243","pseudo"
"244","pseudo"
"245","real"
"246","real"
"247","pseudo"
"248","pseudo"
"249","pseudo"
"250","real"
"251","real"
"252","pseudo"
"253","pseudo"
"254","real"
"255","real"
"256","pseudo"
"257","real"
"258","pseudo"
"259","pseudo"
"260","real"
"261","real"
"262","real"
"263","pseudo"
"264","pseudo"
"265","pseudo"
"266","pseudo"
"267","real"
"268","pseudo"
"269","pseudo"
"270","pseudo"
"271","real"
"272","real"
"273","real"
"274","real"
"275","real"
"276","real"
"277","real"
"278","pseudo"
"279","pseudo"
"280","real"
"281","pseudo"
"282","real"
"283","pseudo"
"284","real"
"285","real"
"286","pseudo"
"287","real"
"288","pseudo"
"289","real"
"290","pseudo"
"291","pseudo"
"292","real"
"293","real"
"294","real"
"295","real"
"296","pseudo"
"297","real"
"298","real"
"299","pseudo"
"300","pseudo"
"301","real"
"302","pseudo"
"303","real"
"304","pseudo"
"305","real"
"306","pseudo"
"307","real"
"308","real"
"309","real"
"310","real"
"311","pseudo"
"312","real"
"313","real"
"314","real"
"315","pseudo"
"316","real"
"317","pseudo"
"318","pseudo"
"319","pseudo"
"320","pseudo"
"321","pseudo"
"322","pseudo"
"323","real"
"324","pseudo"
"325","real"
"326","pseudo"
"327","real"
"328","pseudo"
"329","pseudo"
"330","pseudo"
"331","pseudo"
"332","real"
"333","pseudo"
"334","real"
"335","real"
"336","pseudo"
"337","real"
"338","pseudo"
"339","real"
"340","real"
"341","real"
"342","pseudo"
"343","real"
"344","real"
"345","pseudo"
"346","real"
"347","pseudo"
"348","real"
"349","real"
"350","real"
"351","pseudo"
"352","pseudo"
"353","real"
"354","real"
"355","real"
"356","pseudo"
"357","real"
"358","real"
"359","pseudo"
"360","pseudo"
"361","real"
"362","pseudo"
"363","pseudo"
"364","real"
"365","real"
"366","real"
"367","real"
"368","pseudo"
"369","pseudo"
"370","real"
"371","real"
"372","pseudo"
"373","pseudo"
"374","pseudo"
"375","pseudo"
"376","real"
"377","real"
"378","pseudo"
"379","real"
"380","real"
"381","pseudo"
"382","pseudo"
"383","real"
"384","pseudo"
"385","real"
"386","pseudo"
"387","pseudo"
"388","real"
"389","pseudo"
"390","real"
"391","pseudo"
"392","pseudo"
"393","pseudo"
"394","pseudo"
"395","pseudo"
"396","real"
"397","real"
"398","real"
"399","pseudo"
"400","pseudo"
"401","real"
"402","real"
"403","pseudo"
"404","real"
